Province/State,Country/Region,Lat,Long,Time,Daily Confirmed,Daily Death,Daily Recovered,Cum Confirmed,Cum Death,Cum Recovered,PCum Confirmed,PCum Death,PCum Recovered,dPCum Confirmed,dPCum Death,dPCum Recovered,Mortality,perchange Confirmed,perchange Death,perchange Recovered,Lat Long
,Estonia,58.5953,25.0136,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"58.5953,25.0136"
,Netherlands,52.1326,5.2913,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"52.1326,5.2913"
,San Marino,43.9424,12.4578,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.9424,12.4578"
,Belarus,53.7098,27.9534,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"53.7098,27.9534"
,Iceland,64.9631,-19.0208,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"64.9631,-19.0208"
,Lithuania,55.1694,23.8813,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"55.1694,23.8813"
,Mexico,23.6345,-102.5528,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"23.6345,-102.5528"
,New Zealand,-40.9006,174.886,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-40.9006,174.886"
,Nigeria,9.082,8.6753,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.082,8.6753"
Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-31.9505,115.8605"
,Ireland,53.1424,-7.6921,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"53.1424,-7.6921"
,Luxembourg,49.8153,6.1296,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"49.8153,6.1296"
